category,AD_I-AUROC,Din_I-AUROC,INP_I-AUROC,AD_S-AUROC,Din_S-AUROC,INP_S-AUROC,AD_P-AUROC,Din_P-AUROC,INP_P-AUROC,AD_P-AUPR,Din_P-AUPR,INP_P-AUPR,AD_AUPRO,Din_AUPRO,INP_AUPRO
audiojack,0.8260893138076544,0.8695393405182342,0.8841174358823558,0.9622,0.9795,0.9833,0.4931,0.3318,0.3509,0.066,0.1627,0.1743,0.7555,0.7735,0.7856
bottle_cap,0.9212576718374894,0.9058767086401072,0.8866520701792737,0.967,0.9683,0.9688,0.2796,0.0943,0.1068,0.0986,0.0893,0.0831,0.8575,,
button_battery,0.8460043959160521,0.866880601247873,0.8542992058990357,0.9383,0.935,0.944,0.7048,0.4016,0.444,0.3779,0.3916,0.4107,0.7027,0.8234,0.8005
end_cap,0.8284223794109059,0.8709882948216037,0.8661223398156249,0.9516,0.9585,0.9543,0.4414,0.413,0.4568,0.0203,0.0279,0.0282,0.601,0.7001,0.6977
eraser,0.9014894328609846,0.9074102549124712,0.9138619537180842,0.9512,0.9719,0.9706,0.8467,0.3044,0.3725,0.1756,0.1756,0.1982,0.8652,0.8313,0.8451
fire_hood,0.8552904805632078,0.845468931741659,0.8558452708907254,0.9882,0.9915,0.9902,0.4809,0.3057,0.3589,0.2103,0.169,0.1918,0.8097,0.8244,0.8225
mint,0.7553979732470866,0.7199388393460845,0.7561033562406152,0.77,0.7558,0.7899,0.5159,0.4158,0.4523,0.0821,0.1021,0.1157,0.5356,0.5932,0.6024
mounts,0.8449153591997465,0.8884245312001011,0.8925828042144938,0.9964,0.9999,0.9998,0.651,0.3571,0.4063,0.2011,0.1713,0.1828,0.8029,0.8651,0.8679
pcb,0.8391773047643742,0.9208059259363788,0.9335989844343038,0.9829,0.99,0.9905,0.4053,0.4474,0.4598,0.1707,0.1854,0.1893,0.7191,0.836,0.8407
phone_battery,0.8950249135944701,0.9254510368663594,0.9335406105990782,0.9367,0.9561,0.9587,0.8012,0.5758,0.6041,0.1856,0.3369,0.4953,0.7925,0.8138,0.8219
plastic_nut,0.8435898822025619,0.8839327697975891,0.9024151897470872,0.9938,0.9963,0.9989,0.3108,0.1971,0.2458,0.0823,0.0596,0.0681,0.6692,,0.7042
plastic_plug,0.8245408787798197,0.9021439834950076,0.9007515538350916,0.9076,0.9688,0.9675,0.5972,0.371,0.4169,0.0785,0.0784,0.0829,0.7113,0.7934,0.7887
porcelain_doll,0.8294047478724157,0.8487720125415499,0.8861821353638699,0.9486,0.9582,0.9574,0.4808,0.142,0.1811,0.1057,0.1028,0.1293,0.7172,,
regulator,0.7935984317650985,0.8586624958291624,0.8188038038038037,0.9667,0.9851,0.9847,0.2634,0.206,0.2358,0.0815,0.0687,0.0813,0.6716,,0.6438
rolled_strip_base,0.9810340346534654,0.9915897277227722,0.9906834777227724,0.9833,0.9924,0.9917,0.5889,0.2331,0.2632,0.1295,0.1486,0.1562,0.8867,,
