category,AD_Std,Din_Std,INP_Std,AD_Delta,Din_Delta,INP_Delta,worst_model,AD_Std_P,AD_CV_P,AD_P_Delta,Din_Std_P,Din_CV_P,Din_P_Delta,INP_Std_P,INP_CV_P,INP_P_Delta
terminalblock,0.948161525139836,0.9745105746060764,0.966992075605372,-0.3073786085077912,-0.3988893492987435,-0.3886703460581383,Dinomaly,0.6053,0.4777,-0.1276,0.3523,0.6232,0.2709,0.358,0.6081,0.2501
switch,0.8751289465329175,0.9751170268747096,0.9756111159326832,-0.2797420190472842,-0.4189442643373714,-0.4058720520817656,Dinomaly,0.2253,0.4297,0.2044,0.3387,0.3897,0.051,0.3101,0.3808,0.0707
mounts,0.8449153591997465,0.8884245312001011,0.8925828042144938,-0.2331410534291635,-0.2746700520558225,-0.2660098671708323,Dinomaly,0.651,0.4189,-0.2321,0.3571,0.6224,0.2653,0.4063,0.6292,0.2229
usb,0.8653091095336232,0.9231451054759638,0.9354756545956082,-0.2294936977132066,-0.281221817977109,-0.2928593031996565,INP-Former,0.5385,0.3181,-0.2204,0.4252,0.4331,0.0079,0.4262,0.4188,-0.0074
usb_adaptor,0.8360738585245164,0.8205899966261809,0.8401733299595142,-0.2279966542959964,-0.2524585301394513,-0.2320902215474585,Dinomaly,0.4833,0.3461,-0.1372,0.3562,0.5143,0.1581,0.3901,0.5469,0.1568
phone_battery,0.8950249135944701,0.9254510368663594,0.9335406105990782,-0.1964817108294931,-0.303778801843318,-0.3398309331797233,INP-Former,0.8012,0.5651,-0.2361,0.5758,0.775,0.1992,0.6041,0.7273,0.1232
audiojack,0.8260893138076544,0.8695393405182342,0.8841174358823558,-0.1797104352599257,-0.2159588669323021,-0.2440858426575312,INP-Former,0.4931,0.4373,-0.0558,0.3318,0.3778,0.046,0.3509,0.3823,0.0314
pcb,0.8391773047643742,0.9208059259363788,0.9335989844343038,-0.178375188963308,-0.3124513810858531,-0.3290825041291166,INP-Former,0.4053,0.2322,-0.1731,0.4474,0.4173,-0.0301,0.4598,0.4187,-0.0411
transistor1,0.8617281002732112,0.9745795851133592,0.9747497293553034,-0.1520010981513107,-0.3058109161085069,-0.3594217806546573,INP-Former,0.408,0.3489,-0.0591,0.3718,0.4318,0.06,0.3799,0.4266,0.0467
zipper,0.9739113925160438,0.991386735572782,0.9908600838833398,-0.1411529318506063,-0.2571218152613501,-0.2267447151168082,Dinomaly,0.9186,0.6762,-0.2424,0.5736,0.6649,0.0913,0.5911,0.6334,0.0423
sim_card_set,0.9145666239673008,0.9575206089222522,0.962150786220385,-0.1355011993001361,-0.2857056549057516,-0.242471560982919,Dinomaly,0.8334,0.5727,-0.2607,0.8217,0.8136,-0.0081,0.8432,0.8171,-0.0261
toothbrush,0.6503396390598004,0.9087360563932828,0.8989024664462726,-0.1226947334768417,-0.3612849464347678,-0.3271246050536807,Dinomaly,0.5172,0.2423,-0.2749,0.4942,0.6135,0.1193,0.5329,0.6115,0.0786
u_block,0.913808418803586,0.896854590349329,0.9127088167734312,-0.1081643820249633,-0.1470564449331564,-0.1488043295362497,INP-Former,0.5979,0.2569,-0.341,0.1564,0.3146,0.1582,0.1954,0.3453,0.1499
