category,AD_Std,AD_CV,AD_Delta,Din_Std,Din_CV,Din_Delta,INP_Std,INP_CV,INP_Delta
audiojack,0.8261,0.6464,-0.1797,0.8695,0.6536,-0.216,0.8841,0.64,-0.2441
bottle_cap,0.9213,0.9186,-0.0027,0.9059,0.8925,-0.0134,0.8867,0.8996,0.013
button_battery,0.846,0.8441,-0.0019,0.8669,0.8398,-0.0271,0.8543,0.8186,-0.0357
end_cap,0.8284,0.7411,-0.0873,0.871,0.6777,-0.1933,0.8661,0.6611,-0.205
eraser,0.9015,0.8026,-0.0989,0.9074,0.7412,-0.1663,0.9139,0.817,-0.0969
fire_hood,0.8553,0.868,0.0127,0.8455,0.8595,0.014,0.8558,0.869,0.0131
mint,0.7554,0.6809,-0.0745,0.7199,0.6855,-0.0345,0.7561,0.7243,-0.0318
mounts,0.8449,0.6118,-0.2331,0.8884,0.6138,-0.2747,0.8926,0.6266,-0.266
pcb,0.8392,0.6608,-0.1784,0.9208,0.6084,-0.3125,0.9336,0.6045,-0.3291
phone_battery,0.895,0.6985,-0.1965,0.9255,0.6217,-0.3038,0.9335,0.5937,-0.3398
plastic_nut,0.8436,0.823,-0.0206,0.8839,0.7108,-0.1731,0.9024,0.7617,-0.1407
plastic_plug,0.8245,0.8005,-0.024,0.9021,0.8372,-0.0649,0.9008,0.8747,-0.0261
porcelain_doll,0.8294,0.8013,-0.0281,0.8488,0.8215,-0.0273,0.8862,0.8427,-0.0435
regulator,0.7936,0.7036,-0.09,0.8587,0.7008,-0.1579,0.8188,0.7124,-0.1064
rolled_strip_base,0.981,0.9653,-0.0157,0.9916,0.928,-0.0636,0.9907,0.9673,-0.0234
sim_card_set,0.9146,0.7791,-0.1355,0.9575,0.6718,-0.2857,0.9622,0.7197,-0.2425
switch,0.8751,0.5954,-0.2797,0.9751,0.5562,-0.4189,0.9756,0.5697,-0.4059
tape,0.9643,0.9531,-0.0112,0.966,0.8129,-0.1531,0.9721,0.9041,-0.068
terminalblock,0.9482,0.6408,-0.3074,0.9745,0.5756,-0.3989,0.967,0.5783,-0.3887
toothbrush,0.6503,0.5276,-0.1227,0.9087,0.5475,-0.3613,0.8989,0.5718,-0.3271
toy,0.861,0.7719,-0.0891,0.8612,0.7323,-0.129,0.8618,0.7743,-0.0875
toy_brick,0.8095,0.8122,0.0027,0.7238,0.7077,-0.016,0.7293,0.7442,0.0148
transistor1,0.8617,0.7097,-0.152,0.9746,0.6688,-0.3058,0.9747,0.6153,-0.3594
u_block,0.9138,0.8056,-0.1082,0.8969,0.7498,-0.1471,0.9127,0.7639,-0.1488
usb,0.8653,0.6358,-0.2295,0.9231,0.6419,-0.2812,0.9355,0.6426,-0.2929
usb_adaptor,0.8361,0.6081,-0.228,0.8206,0.5681,-0.2525,0.8402,0.6081,-0.2321
vcpill,0.9369,0.8813,-0.0556,0.9193,0.7413,-0.178,0.9269,0.8177,-0.1093
wooden_beads,0.9183,0.9075,-0.0108,0.8737,0.8708,-0.0029,0.8881,0.8899,0.0018
woodstick,0.8432,0.8372,-0.0059,0.8408,0.855,0.0141,0.8372,0.837,-0.0002
zipper,0.9739,0.8328,-0.1412,0.9914,0.7343,-0.2571,0.9909,0.7641,-0.2267
MEAN,0.8652,0.7622,-0.1031,0.8938,0.7209,-0.1729,0.8983,0.7405,-0.1578
