category,AD_P-AUROC,AD_P-AUPR,AD_AUPRO,Din_P-AUROC,Din_P-AUPR,Din_AUPRO,INP_P-AUROC,INP_P-AUPR,INP_AUPRO
audiojack,0.4373,0.0161,0.599,0.3778,0.0307,0.6496,0.3823,0.0382,0.6705
bottle_cap,,,,0.3145,0.0816,0.8353,0.2989,0.0899,0.8538
button_battery,0.3988,0.3754,0.6922,0.4999,0.3973,0.8179,0.5092,0.4127,0.8044
end_cap,0.203,0.0154,0.5807,0.4796,0.0212,0.6041,0.4934,0.0148,0.5782
eraser,0.5806,0.1594,0.8083,0.6026,0.0767,0.6643,0.6265,0.1762,0.7764
fire_hood,0.2864,0.2023,0.8128,0.3775,0.1781,0.8312,0.4091,0.1962,0.8297
mint,,,,0.634,0.0988,0.5787,0.5889,0.1056,0.5731
mounts,0.4189,0.0532,0.6751,0.6224,0.0345,0.6933,0.6292,0.0478,0.7203
pcb,0.2322,0.043,0.5903,0.4173,0.0146,0.5768,0.4187,0.0158,0.6083
phone_battery,0.5651,0.0984,0.651,0.775,0.3185,0.6008,0.7273,0.0593,0.6197
plastic_nut,0.2232,0.0702,0.6201,0.4697,0.0216,0.435,0.534,0.0428,0.5206
plastic_plug,0.2936,0.0654,0.7079,0.6113,0.0701,0.7776,0.5786,0.0731,0.7816
porcelain_doll,,,,0.2688,0.0778,0.7669,0.2778,0.1187,0.7819
regulator,0.1767,0.0068,0.4636,0.5448,0.0054,0.461,0.5474,0.008,0.4835
rolled_strip_base,,,,0.6111,0.1185,0.8652,0.5674,0.1705,0.9148
sim_card_set,0.5727,0.1288,0.6143,0.8136,0.0361,0.4872,0.8171,0.074,0.5395
switch,0.4297,0.1581,0.4961,0.3897,0.0374,0.5327,0.3808,0.033,0.5613
tape,,,,0.3249,0.0497,0.5102,0.3104,0.0698,0.5702
terminalblock,0.4777,0.0463,0.7459,0.6232,0.0102,0.7423,0.6081,0.012,0.761
toothbrush,0.2423,0.0139,0.2369,0.6135,0.0424,0.5612,0.6115,0.0559,0.5982
toy,0.5531,0.0533,0.5953,0.6171,0.0305,0.5854,0.6393,0.0441,0.6366
toy_brick,0.8241,0.1713,0.7074,0.8573,0.1477,0.6248,0.8287,0.1809,0.6446
transistor1,0.3489,0.1553,0.5246,0.4318,0.0794,0.7343,0.4266,0.1109,0.7089
u_block,0.2569,0.1208,0.7052,0.3146,0.0841,0.6825,0.3453,0.0991,0.6739
usb,0.3181,0.0098,0.5377,0.4331,0.0157,0.5988,0.4188,0.0119,0.6016
usb_adaptor,0.3461,0.011,0.5029,0.5143,0.0018,0.3402,0.5469,0.0024,0.4176
vcpill,0.5184,0.4021,0.81,0.4023,0.2214,0.7875,0.4031,0.4177,0.8295
wooden_beads,0.5152,0.2524,0.7972,0.4293,0.251,0.8017,0.4369,0.2621,0.798
woodstick,0.6458,0.243,0.6593,0.9065,0.2189,0.6919,0.8976,0.2425,0.6593
zipper,0.6762,0.1623,0.6189,0.6649,0.0565,0.6032,0.6334,0.0577,0.5813
MEAN,0.4216,0.1214,0.6301,0.5314,0.0943,0.6481,0.5298,0.1081,0.6699
