Category,Run 1,Run 2,Run 3,Single-class I-AUROC,SC Std
bottle,100.0,100.0,100.0,100.0,0.0
cable,95.91,95.54,93.55,95.0,1.04
capsule,95.77,94.5,94.73,95.0,0.55
carpet,100.0,100.0,99.48,99.83,0.25
grid,99.92,99.92,100.0,99.95,0.04
hazelnut,99.93,99.93,99.82,99.89,0.05
leather,100.0,100.0,100.0,100.0,0.0
metal_nut,100.0,100.0,100.0,100.0,0.0
pill,97.74,96.29,96.4,96.81,0.66
screw,83.66,82.82,87.09,84.52,1.85
tile,100.0,100.0,100.0,100.0,0.0
toothbrush,96.67,100.0,96.67,97.78,1.57
transistor,98.38,99.5,98.46,98.78,0.51
wood,100.0,100.0,100.0,100.0,0.0
zipper,99.95,99.61,99.92,99.83,0.15
