category,P-AUROC,P-AUPR
audiojack,0.4373,0.0161
bottle_cap,0.1667,0.0973
button_battery,0.3988,0.3754
end_cap,0.203,0.0154
eraser,0.5806,0.1594
fire_hood,0.2864,0.2023
mint,0.1276,0.0531
mounts,0.4189,0.0532
pcb,0.2322,0.043
phone_battery,0.5651,0.0984
plastic_nut,0.2232,0.0702
plastic_plug,0.2936,0.0654
porcelain_doll,0.1901,0.1073
regulator,0.1767,0.0068
rolled_strip_base,0.2513,0.1232
sim_card_set,0.5727,0.1288
switch,0.4297,0.1581
tape,0.1251,0.1061
terminalblock,0.4777,0.0463
toothbrush,0.2423,0.0139
toy,0.5531,0.0533
toy_brick,0.8241,0.1713
transistor1,0.3489,0.1553
u_block,0.2569,0.1208
usb,0.3181,0.0098
usb_adaptor,0.3461,0.011
vcpill,0.5184,0.4021
wooden_beads,0.5152,0.2524
woodstick,0.6458,0.243
zipper,0.6762,0.1623
