category,P-AUROC,P-AUPR,AUPRO
audiojack,0.3778,0.0307,0.6496
bottle_cap,0.3145,0.0816,0.8353
button_battery,0.4999,0.3973,0.8179
end_cap,0.4796,0.0212,0.6041
eraser,0.6026,0.0767,0.6643
fire_hood,0.3775,0.1781,0.8312
mint,0.634,0.0988,0.5787
mounts,0.6224,0.0345,0.6933
pcb,0.4173,0.0146,0.5768
phone_battery,0.775,0.3185,0.6008
plastic_nut,0.4697,0.0216,0.435
plastic_plug,0.6113,0.0701,0.7776
porcelain_doll,0.2688,0.0778,0.7669
regulator,0.5448,0.0054,0.461
rolled_strip_base,0.6111,0.1185,0.8652
sim_card_set,0.8136,0.0361,0.4872
switch,0.3897,0.0374,0.5327
tape,0.3249,0.0497,0.5102
terminalblock,0.6232,0.0102,0.7423
toothbrush,0.6135,0.0424,0.5612
toy,0.6171,0.0305,0.5854
toy_brick,0.8573,0.1477,0.6248
transistor1,0.4318,0.0794,0.7343
u_block,0.3146,0.0841,0.6825
usb,0.4331,0.0157,0.5988
usb_adaptor,0.5143,0.0018,0.3402
vcpill,0.4023,0.2214,0.7875
wooden_beads,0.4293,0.251,0.8017
woodstick,0.9065,0.2189,0.6919
zipper,0.6649,0.0565,0.6032
