category,P-AUROC,P-AUPR,AUPRO
audiojack,0.3823,0.0382,0.6705
bottle_cap,0.2989,0.0899,0.8538
button_battery,0.5092,0.4127,0.8044
end_cap,0.4934,0.0148,0.5782
eraser,0.6265,0.1762,0.7764
fire_hood,0.4091,0.1962,0.8297
mint,0.5889,0.1056,0.5731
mounts,0.6292,0.0478,0.7203
pcb,0.4187,0.0158,0.6083
phone_battery,0.7273,0.0593,0.6197
plastic_nut,0.534,0.0428,0.5206
plastic_plug,0.5786,0.0731,0.7816
porcelain_doll,0.2778,0.1187,0.7819
regulator,0.5474,0.008,0.4835
rolled_strip_base,0.5674,0.1705,0.9148
sim_card_set,0.8171,0.074,0.5395
switch,0.3808,0.033,0.5613
tape,0.3104,0.0698,0.5702
terminalblock,0.6081,0.012,0.761
toothbrush,0.6115,0.0559,0.5982
toy,0.6393,0.0441,0.6366
toy_brick,0.8287,0.1809,0.6446
transistor1,0.4266,0.1109,0.7089
u_block,0.3453,0.0991,0.6739
usb,0.4188,0.0119,0.6016
usb_adaptor,0.5469,0.0024,0.4176
vcpill,0.4031,0.4177,0.8295
wooden_beads,0.4369,0.2621,0.798
woodstick,0.8976,0.2425,0.6593
zipper,0.6334,0.0577,0.5813
