category,P-AUROC,P-AUPR,AUPRO
audiojack,0.4931,0.066,0.7555
bottle_cap,0.2796,0.0986,0.8575
button_battery,0.7048,0.3779,0.7027
end_cap,0.4414,0.0203,0.601
eraser,0.8467,0.1756,0.8652
fire_hood,0.4809,0.2103,0.8097
mint,0.5159,0.0821,0.5356
mounts,0.651,0.2011,0.8029
pcb,0.4053,0.1707,0.7191
phone_battery,0.8012,0.1856,0.7925
plastic_nut,0.3108,0.0823,0.6692
plastic_plug,0.5972,0.0785,0.7113
porcelain_doll,0.4808,0.1057,0.7172
regulator,0.2634,0.0815,0.6716
rolled_strip_base,0.5889,0.1295,0.8867
sim_card_set,0.8334,0.1622,0.6931
switch,,,
tape,0.3161,0.108,0.6793
terminalblock,0.6053,0.198,0.8881
toothbrush,0.5172,0.0423,0.4487
toy,0.7815,0.0605,0.6731
toy_brick,0.9259,0.1749,0.7147
transistor1,0.408,0.1798,0.6325
u_block,0.5979,0.1531,0.7471
usb,0.5385,0.1482,0.8397
usb_adaptor,0.4833,0.0585,0.6545
vcpill,0.6198,0.4782,0.8503
wooden_beads,0.7272,0.2638,0.7972
woodstick,0.8916,0.2409,0.6466
zipper,0.9186,0.3054,0.8403
