category,P-AUROC,P-AUPR
audiojack,0.4931,0.066
bottle_cap,0.2796,0.0986
button_battery,0.7048,0.3779
end_cap,0.4414,0.0203
eraser,0.8467,0.1756
fire_hood,0.4809,0.2103
mint,0.5159,0.0821
mounts,0.651,0.2011
pcb,0.4053,0.1707
phone_battery,0.8012,0.1856
plastic_nut,0.3108,0.0823
plastic_plug,0.5972,0.0785
porcelain_doll,0.4808,0.1057
regulator,0.2634,0.0815
rolled_strip_base,0.5889,0.1295
sim_card_set,0.8334,0.1622
switch,0.2253,0.3713
tape,0.3161,0.108
terminalblock,0.6053,0.198
toothbrush,0.5172,0.0423
toy,0.7815,0.0605
toy_brick,0.9259,0.1749
transistor1,0.408,0.1798
u_block,0.5979,0.1531
usb,0.5385,0.1482
usb_adaptor,0.4833,0.0585
vcpill,0.6198,0.4782
wooden_beads,0.7272,0.2638
woodstick,0.8916,0.2409
zipper,0.9186,0.3054
