category,AnomalyDINO,Dinomaly,INP-Former,worst_model
terminalblock,-0.3073786085077912,-0.39888934929874353,-0.3886703460581383,Dinomaly
switch,-0.27974201904728424,-0.4189442643373714,-0.4058720520817656,Dinomaly
mounts,-0.23314105342916358,-0.2746700520558225,-0.2660098671708323,Dinomaly
usb,-0.2294936977132066,-0.281221817977109,-0.2928593031996565,INP-Former
usb_adaptor,-0.22799665429599647,-0.2524585301394513,-0.2320902215474585,Dinomaly
phone_battery,-0.19648171082949317,-0.30377880184331807,-0.33983093317972335,INP-Former
audiojack,-0.1797104352599257,-0.21595886693230215,-0.2440858426575312,INP-Former
pcb,-0.17837518896330806,-0.31245138108585313,-0.32908250412911666,INP-Former
transistor1,-0.1520010981513107,-0.30581091610850697,-0.35942178065465735,INP-Former
zipper,-0.1411529318506063,-0.25712181526135014,-0.22674471511680827,Dinomaly
sim_card_set,-0.13550119930013615,-0.2857056549057516,-0.242471560982919,Dinomaly
toothbrush,-0.12269473347684179,-0.36128494643476783,-0.3271246050536807,Dinomaly
u_block,-0.10816438202496337,-0.1470564449331564,-0.14880432953624978,INP-Former
eraser,-0.09888052008741421,-0.16625676910812714,-0.09688529396942314,Dinomaly
regulator,-0.08996429763096425,-0.15787604270937594,-0.10639105772439106,Dinomaly
toy,-0.08914336747187546,-0.1289663368048053,-0.08745934344525585,Dinomaly
end_cap,-0.08731790265887118,-0.19325533081828916,-0.20504325826798608,INP-Former
mint,-0.07445713841360457,-0.03447615893893352,-0.03178332595566302,AnomalyDINO
vcpill,-0.05556756035747634,-0.17803951210113678,-0.1092669660456772,Dinomaly
porcelain_doll,-0.028066353913733688,-0.02725681102021904,-0.043450026324681645,INP-Former
plastic_plug,-0.023999935527372673,-0.0649324425365323,-0.026059776274013458,Dinomaly
plastic_nut,-0.020566250423035615,-0.17314745567641876,-0.1406827875506924,Dinomaly
rolled_strip_base,-0.015722308168316768,-0.06363830445544538,-0.023359529702970283,Dinomaly
tape,-0.011154230514429875,-0.15312997635390668,-0.06801800362249055,Dinomaly
wooden_beads,-0.01081127408967375,-0.002893662077548931,0.0017874614985772252,AnomalyDINO
woodstick,-0.005906167654393335,0.01411735953747717,-0.000186602172871142,AnomalyDINO
bottle_cap,-0.002652017804982143,-0.013416500292897426,0.012986689529183582,Dinomaly
button_battery,-0.0019357629041405477,-0.027061826432217884,-0.035707600680657925,INP-Former
toy_brick,0.0026738170508803227,-0.016023522595866924,0.014847625941883047,Dinomaly
fire_hood,0.012744872972145771,0.014014080195898337,0.013127486991123427,AnomalyDINO
