category,Cond_A,Cond_B,Cond_C,Cond_D
audiojack,0.5404493748744112,0.8271661606359569,0.9181818181818182,0.9119675629534785
bottle_cap,0.5402251639116081,0.9173092479905635,0.9480837789661319,0.9505270760341753
button_battery,0.5046739931934203,0.848692285876347,0.8768258120776105,0.8730704585891403
end_cap,0.5447978804945512,0.8312889421846767,0.8007740328089132,0.7994583170035272
eraser,0.5593366445840263,0.9048714098528893,0.9203967365221564,0.9230923052311629
fire_hood,0.6013986838077747,0.8573178757269665,0.9287917867799524,0.9285692611136398
mint,0.499008083421862,0.7820153558692868,0.6946096096096095,0.7144944944944945
mounts,0.5181967702804603,0.8415408984881104,0.9069150641025641,0.8605528846153846
pcb,0.4690926292109198,0.8413501990619305,0.8853715114171802,0.8874157303370787
phone_battery,0.3983421658986175,0.8959732142857144,0.927361021249373,0.9297672964661923
plastic_nut,0.5381667729720359,0.848396175053915,0.9104211851018823,0.9090957774386162
plastic_plug,0.4826886518325897,0.8301850692737487,0.9132181599035758,0.9153042618289706
porcelain_doll,0.5576336075815083,0.8225141249597272,0.8631164209456025,0.8528215556685308
regulator,0.4023236569903237,0.7994781448114783,0.9612293144208037,0.9597678916827854
rolled_strip_base,0.6746271658415841,0.9819752475247525,0.9886331742913276,0.988781301649671
sim_card_set,0.7669932773847707,0.9163237479453042,0.9580150535829206,0.9656397772741263
switch,0.5325295437242725,0.8606395583244805,0.8828333296810058,0.8684650727908896
tape,0.52695519334489,0.9665517039841925,0.9891946992864424,0.9893170234454638
terminalblock,0.48457637616384075,0.9485771239957842,0.957213706349044,0.9559039218495249
toothbrush,0.4734239506536262,0.6404207770117673,0.7192690058479532,0.7192105263157895
toy,0.4690652953632082,0.8703213632369676,0.8583997343957502,0.8547318661860495
toy_brick,0.48860239947030737,0.8248804286500299,0.836290441662198,0.8526264251241519
transistor1,0.5162427191241552,0.8407216307546965,0.8679777404769466,0.8725294500143659
u_block,0.4469861056217969,0.914887476667697,0.9357423569642219,0.9346067473077119
usb,0.4858144735694709,0.8651697516725704,0.9039396347443855,0.898004767938833
usb_adaptor,0.5502128317588844,0.8391039698605488,0.8296602787456446,0.83392131242741
vcpill,0.6108630118714152,0.9320325167103879,0.9274523641496119,0.9263143966125617
wooden_beads,0.5531616415633308,0.8992047919033356,0.901130017224281,0.8851975572837831
woodstick,0.5524538359801714,0.8488189927590699,0.865373109974981,0.8698058305232241
zipper,0.5028114795556655,0.9721769489211348,0.9406879999999999,0.932104
