category,group,Din_10,INP_10,AD_10,Din_20,INP_20,AD_20,Din_30,INP_30,AD_30
audiojack,10+20+30,0.8801,0.8952,0.8273,0.8754,0.885,0.8263,0.8695,0.8746,0.8261
bottle_cap,10+20+30,0.9133,0.9134,0.9224,0.9074,0.8939,0.9212,0.9059,0.8749,0.9213
button_battery,10+20+30,0.8966,0.8615,0.8487,0.8811,0.8542,0.8476,0.8669,0.8363,0.846
end_cap,10+20+30,0.8893,0.8727,0.8283,0.8796,0.8656,0.8285,0.871,0.8537,0.8284
eraser,10+20+30,0.9306,0.9344,0.904,0.9248,0.9257,0.9042,0.9074,0.9126,0.9015
fire_hood,10+20+30,0.8647,0.8785,0.861,0.848,0.8598,0.8584,0.8455,0.8517,0.8553
mint,10+20+30,0.7973,0.7884,0.7556,0.7631,0.769,0.7564,0.7199,0.744,0.7554
mounts,10+20+30,0.9007,0.8847,0.8455,0.9032,0.8869,0.8467,0.8884,0.889,0.8449
pcb,10+20+30,0.9301,0.9355,0.8395,0.9251,0.9338,0.8392,0.9208,0.9226,0.8392
phone_battery,10+20+30,0.9285,0.9444,0.8909,0.9289,0.9385,0.8963,0.9255,0.9288,0.895
plastic_nut,20+30,,,,0.8967,0.9133,0.8449,0.8839,0.889,0.8436
plastic_plug,20+30,,,,0.9097,0.9063,0.8254,0.9021,0.8969,0.8245
porcelain_doll,20+30,,,,0.8518,0.8948,0.8296,0.8488,0.896,0.8294
regulator,20+30,,,,0.8629,0.8169,0.7954,0.8587,0.7824,0.7936
rolled_strip_base,20+30,,,,0.9926,0.9906,0.981,0.9916,0.9874,0.981
sim_card_set,20+30,,,,0.9606,0.9673,0.9144,0.9575,0.9645,0.9146
switch,20+30,,,,0.9777,0.9784,0.8681,0.9751,0.972,0.8751
tape,20+30,,,,0.973,0.9707,0.9662,0.966,0.9661,0.9643
terminalblock,20+30,,,,0.9719,0.9497,0.9467,0.9745,0.9519,0.9482
toothbrush,20+30,,,,0.8938,0.9031,0.6505,0.9087,0.8992,0.6503
toy,30 only,,,,,,,0.8612,0.8523,0.861
toy_brick,30 only,,,,,,,0.7238,0.7348,0.8095
transistor1,30 only,,,,,,,0.9746,0.9687,0.8617
u_block,30 only,,,,,,,0.8969,0.9005,0.9138
usb,30 only,,,,,,,0.9231,0.9297,0.8653
usb_adaptor,30 only,,,,,,,0.8206,0.8365,0.8361
vcpill,30 only,,,,,,,0.9193,0.9227,0.9369
wooden_beads,30 only,,,,,,,0.8737,0.8914,0.9183
woodstick,30 only,,,,,,,0.8408,0.8298,0.8432
zipper,30 only,,,,,,,0.9914,0.9899,0.9739
